<block:advancedrocketry:advrocketmotor>, Advanced Rocket Engine
<block:minecraft:standing_banner>, White Banner
<block:minecraft:standing_sign>, Sign
<block:minecraft:sticky_piston>, Sticky Piston
<block:minecraft:stone>, Stone
<block:minecraft:stone_brick_stairs>, Stone Brick Stairs
<block:minecraft:stone_button>, Button
<block:minecraft:stone_pressure_plate>, Stone Pressure Plate
<block:minecraft:stone_slab>, Stone Slab
<block:minecraft:stone_slab2>, Red Sandstone Slab
<block:minecraft:stone_stairs>, Cobblestone Stairs
<block:minecraft:stonebrick>, Stone Bricks
<block:minecraft:structure_block>, Structure Block
<block:minecraft:structure_void>, Structure Void
<block:minecraft:tallgrass>, Grass
<block:minecraft:tnt>, TNT
<block:minecraft:torch>, Torch
<block:minecraft:trapdoor>, Wooden Trapdoor
<block:minecraft:trapped_chest>, Trapped Chest
<block:minecraft:tripwire>, Tripwire
<block:minecraft:tripwire_hook>, Tripwire Hook
<block:minecraft:unlit_redstone_torch>, Redstone Torch
<block:minecraft:unpowered_comparator>, Redstone Comparator
<block:minecraft:unpowered_repeater>, Redstone Repeater
<block:minecraft:vine>, Vines
<block:minecraft:wall_banner>, White Banner
<block:minecraft:wall_sign>, Sign
<block:minecraft:water>, Rainwater
<block:minecraft:waterlily>, Lily Pad
<block:minecraft:web>, Cobweb
<block:minecraft:wheat>, Crops
<block:minecraft:white_glazed_terracotta>, White Glazed Terracotta
<block:minecraft:white_shulker_box>, White Shulker Box
<block:minecraft:wooden_button>, Button
<block:minecraft:wooden_door>, Oak Door
<block:minecraft:wooden_pressure_plate>, Wooden Pressure Plate
<block:minecraft:wooden_slab>, Wood Slab
<block:minecraft:wool>, Wool
<block:minecraft:yellow_flower>, Flower
<block:minecraft:yellow_glazed_terracotta>, Yellow Glazed Terracotta
<block:minecraft:yellow_shulker_box>, Yellow Shulker Box
<block:nuclearcraft:alloy_furnace>, Alloy Furnace
<block:nuclearcraft:assembler>, Assembler
<block:nuclearcraft:bin>, Universal Bin
<block:nuclearcraft:centrifuge>, Centrifuge
<block:nuclearcraft:chemical_reactor>, Chemical Reactor
<block:nuclearcraft:cobblestone_generator>, Cobblestone Generator
<block:nuclearcraft:cobblestone_generator_compact>, Compact Cobblestone Generator
<block:nuclearcraft:cobblestone_generator_dense>, Dense Cobblestone Generator
<block:nuclearcraft:condenser_controller>, Condenser Controller (MULTIBLOCK BROKEN!)
<block:nuclearcraft:condenser_tube_copper>, Copper Condensation Tube
<block:nuclearcraft:condenser_tube_hard_carbon>, Hard Carbon Condensation Tube
<block:nuclearcraft:condenser_tube_thermoconducting>, Thermoconducting Alloy Condensation Tube
<block:nuclearcraft:crystallizer>, Crystallizer
<block:nuclearcraft:decay_generator>, Decay Generator
<block:nuclearcraft:decay_hastener>, Decay Hastener
<block:nuclearcraft:electrolyzer>, Electrolyzer
<block:nuclearcraft:enricher>, Fluid Enricher
<block:nuclearcraft:extractor>, Fluid Extractor
<block:nuclearcraft:fertile_isotope>, tile.nuclearcraft.fertile_isotope.name
<block:nuclearcraft:fission_casing>, Fission Reactor Casing
<block:nuclearcraft:fission_cell_port>, Fission Fuel Cell Port
<block:nuclearcraft:fission_computer_port>, Fission Computer Port (WIP)
<block:nuclearcraft:fission_conductor>, Fission Reactor Conductor
<block:nuclearcraft:fission_glass>, Fission Reactor Glass
<block:nuclearcraft:fission_heater_port>, Fission Coolant Heater Port
<block:nuclearcraft:fission_heater_port2>, Fission Coolant Heater Port
<block:nuclearcraft:fission_irradiator>, Fission Neutron Irradiator
<block:nuclearcraft:fission_irradiator_port>, Fission Neutron Irradiator Port
<block:nuclearcraft:fission_monitor>, Fission Reactor Monitor (WIP)
<block:nuclearcraft:fission_power_port>, Fission Reactor Power Port
<block:nuclearcraft:fission_reflector>, tile.nuclearcraft.fission_reflector.name
<block:nuclearcraft:fission_shield>, tile.nuclearcraft.fission_shield.name
<block:nuclearcraft:fission_shield_manager>, Fission Neutron Shield Manager (WIP)
<block:nuclearcraft:fission_source>, tile.nuclearcraft.fission_source.name
<block:nuclearcraft:fission_vent>, Fission Reactor Vent
<block:nuclearcraft:fission_vessel_port>, Fission Fuel Vessel Port
<block:nuclearcraft:fluid_alugentum>, Molten Alugentum
<block:nuclearcraft:fluid_alumina>, Molten Alumina
<block:nuclearcraft:fluid_ammonia>, Ammonia
<block:nuclearcraft:fluid_arsenic>, Sublimated Arsenic
<block:nuclearcraft:fluid_bas>, Molten Boron Arsenide
<block:nuclearcraft:fluid_bef2>, Molten Beryllium Fluoride
<block:nuclearcraft:fluid_beryllium>, Molten Beryllium
<block:nuclearcraft:fluid_borax_solution>, Borax Solution
<block:nuclearcraft:fluid_boric_acid>, Boric Acid
<block:nuclearcraft:fluid_boron10>, Molten Boron-10
<block:nuclearcraft:fluid_boron11>, Molten Boron-11
<block:nuclearcraft:fluid_boron_nitride_solution>, Boron Nitride Solution
<block:nuclearcraft:fluid_calcium_sulfate_solution>, Calcium Sulfate Solution
<block:nuclearcraft:fluid_carbon_dioxide>, Carbon Dioxide
<block:nuclearcraft:fluid_carbon_monoxide>, Carbon Monoxide
<block:nuclearcraft:fluid_chocolate_liquor>, Chocolate Liquor
<block:nuclearcraft:fluid_coal>, Liquefacted Coal
<block:nuclearcraft:fluid_cocoa_butter>, Cocoa Butter
<block:nuclearcraft:fluid_condensate_water>, Condensate Water
<block:nuclearcraft:fluid_corium>, Corium
<block:nuclearcraft:fluid_cryotheum>, Molten Cryotheum
<block:nuclearcraft:fluid_dark_chocolate>, Molten Dark Chocolate
<block:nuclearcraft:fluid_deuterium>, Deuterium
<block:nuclearcraft:fluid_diborane>, Diborane
<block:nuclearcraft:fluid_emergency_coolant>, Emergency Coolant
<block:nuclearcraft:fluid_emergency_coolant_heated>, Heated Emergency Coolant
<block:nuclearcraft:fluid_ender>, Molten Ender
<block:nuclearcraft:fluid_enderium>, Molten Enderium
<block:nuclearcraft:fluid_ethanol>, Ethanol
<block:nuclearcraft:fluid_ethene>, Ethylene
<block:nuclearcraft:fluid_exhaust_steam>, Exhaust Steam
<block:nuclearcraft:fluid_ferroboron>, Molten Ferroboron
<block:nuclearcraft:fluid_flibe>, Molten FLiBe Salt Mixture
<block:nuclearcraft:fluid_fluorine>, Fluorine
<block:nuclearcraft:fluid_fluorite_water>, Fluorite Water
<block:nuclearcraft:fluid_fluoromethane>, Fluoromethane
<block:nuclearcraft:fluid_gelatin>, Molten Gelatin
<block:nuclearcraft:fluid_hard_carbon>, Molten Hard Carbon
<block:nuclearcraft:fluid_heavy_water>, Heavy Water
<block:nuclearcraft:fluid_helium>, Helium
<block:nuclearcraft:fluid_helium3>, Helium-3
<block:nuclearcraft:fluid_high_pressure_steam>, High Pressure Steam
<block:nuclearcraft:fluid_hydrated_gelatin>, Hydrated Gelatin
<block:nuclearcraft:fluid_hydrofluoric_acid>, Hydrofluoric Acid
<block:nuclearcraft:fluid_hydrogen>, Hydrogen
<block:nuclearcraft:fluid_ice>, Crushed Ice
<block:nuclearcraft:fluid_irradiated_borax_solution>, Irradiated Borax Solution
<block:nuclearcraft:fluid_koh>, Molten Potassium Hydroxide
<block:nuclearcraft:fluid_lead_platinum>, Molten Lead Platinum
<block:nuclearcraft:fluid_lif>, Molten Lithium Fluoride
<block:nuclearcraft:fluid_liquid_helium>, Liquid Helium
<block:nuclearcraft:fluid_liquid_nitrogen>, Liquid Nitrogen
<block:nuclearcraft:fluid_lithium6>, Molten Lithium-6
<block:nuclearcraft:fluid_lithium7>, Molten Lithium-7
<block:nuclearcraft:fluid_low_pressure_steam>, Low Pressure Steam
<block:nuclearcraft:fluid_low_quality_steam>, Low Quality Steam
<block:nuclearcraft:fluid_manganese_dioxide>, Molten Manganese Dioxide
<block:nuclearcraft:fluid_marshmallow>, Liquid Marshmallow
<block:nuclearcraft:fluid_methanol>, Methanol
<block:nuclearcraft:fluid_milk>, Milk
<block:nuclearcraft:fluid_milk_chocolate>, Molten Milk Chocolate
<block:nuclearcraft:fluid_nak>, Eutectic NaK Alloy
<block:nuclearcraft:fluid_nak_hot>, Hot Eutectic NaK Alloy
<block:nuclearcraft:fluid_naoh>, Molten Sodium Hydroxide
<block:nuclearcraft:fluid_nitrogen>, Nitrogen
<block:nuclearcraft:fluid_oxygen>, Oxygen
<block:nuclearcraft:fluid_oxygen_difluoride>, Oxygen Difluoride
<block:nuclearcraft:fluid_plasma>, Plasma
<block:nuclearcraft:fluid_potassium>, Molten Potassium
<block:nuclearcraft:fluid_potassium_fluoride_solution>, Potassium Fluoride Solution
<block:nuclearcraft:fluid_potassium_hydroxide_solution>, Potassium Hydroxide Solution
<block:nuclearcraft:fluid_preheated_water>, Preheated Water
<block:nuclearcraft:fluid_radaway>, RadAway Fluid
<block:nuclearcraft:fluid_radaway_slow>, Slow-Acting RadAway Fluid
<block:nuclearcraft:fluid_redstone_ethanol>, Redstone-Infused Ethanol
<block:nuclearcraft:fluid_sic_vapor>, Silicon Carbide Vapor
<block:nuclearcraft:fluid_slurry_ice>, Slurry Ice
<block:nuclearcraft:fluid_sodium>, Molten Sodium
<block:nuclearcraft:fluid_sodium_fluoride_solution>, Sodium Fluoride Solution
<block:nuclearcraft:fluid_sodium_hydroxide_solution>, Sodium Hydroxide Solution
<block:nuclearcraft:fluid_steam>, Steam
<block:nuclearcraft:fluid_sugar>, Molten Sugar
<block:nuclearcraft:fluid_sulfur>, Molten Sulfur
<block:nuclearcraft:fluid_sulfur_dioxide>, Sulfur Dioxide
<block:nuclearcraft:fluid_sulfur_trioxide>, Sulfur Trioxide
<block:nuclearcraft:fluid_sulfuric_acid>, Sulfuric Acid
<block:nuclearcraft:fluid_tough>, Molten Tough Alloy
<block:nuclearcraft:fluid_tritium>, Tritium
<block:nuclearcraft:fluid_unsweetened_chocolate>, Molten Unsweetened Chocolate
<block:nuclearcraft:fluid_zirconium>, Molten Zirconium
<block:nuclearcraft:fuel_reprocessor>, Fuel Reprocessor
<block:nuclearcraft:geiger_block>, Geiger Counter Block
<block:nuclearcraft:glowing_mushroom>, Glowing Mushroom
<block:nuclearcraft:heat_exchanger_casing>, Heat Exchanger Shell
<block:nuclearcraft:heat_exchanger_computer_port>, Heat Exchanger Computer Port
<block:nuclearcraft:heat_exchanger_controller>, Heat Exchanger Controller (MULTIBLOCK BROKEN!)
<block:nuclearcraft:heat_exchanger_glass>, Heat Exchanger Glass
<block:nuclearcraft:heat_exchanger_tube_copper>, Copper Heat Exchanger Tube
<block:nuclearcraft:heat_exchanger_tube_hard_carbon>, Hard Carbon Heat Exchanger Tube
<block:nuclearcraft:heat_exchanger_tube_thermoconducting>, Thermoconducting Alloy Heat Exchanger Tube
<block:nuclearcraft:heat_exchanger_vent>, Heat Exchanger Vent
<block:nuclearcraft:heavy_water_moderator>, Heavy Water Moderator
<block:nuclearcraft:infuser>, Fluid Infuser
<block:nuclearcraft:ingot_block>, tile.nuclearcraft.ingot_block.name
<block:nuclearcraft:ingot_former>, Ingot Former
<block:nuclearcraft:lithium_ion_battery_advanced>, Advanced Lithium Ion Battery
<block:nuclearcraft:lithium_ion_battery_basic>, Basic Lithium Ion Battery
<block:nuclearcraft:lithium_ion_battery_du>, DU Lithium Ion Battery
<block:nuclearcraft:lithium_ion_battery_elite>, Elite Lithium Ion Battery
<block:nuclearcraft:machine_interface>, Machine Interface
<block:nuclearcraft:manufactory>, Manufactory
<block:nuclearcraft:melter>, Melter
<block:nuclearcraft:nitrogen_collector>, Nitrogen Collector
<block:nuclearcraft:nitrogen_collector_compact>, Compact Nitrogen Collector
<block:nuclearcraft:nitrogen_collector_dense>, Dense Nitrogen Collector
<block:nuclearcraft:nuclear_furnace>, Nuclear Furnace
<block:nuclearcraft:ore>, tile.nuclearcraft.ore.name
<block:nuclearcraft:pressurizer>, Pressurizer
<block:nuclearcraft:quantum_computer_connector>, Quantum Computer Connector
<block:nuclearcraft:quantum_computer_controller>, Quantum Computer Controller
<block:nuclearcraft:quantum_computer_gate_control>, tile.nuclearcraft.quantum_computer_gate_control.name
<block:nuclearcraft:quantum_computer_gate_single>, tile.nuclearcraft.quantum_computer_gate_single.name
<block:nuclearcraft:quantum_computer_gate_swap>, tile.nuclearcraft.quantum_computer_gate_swap.name
<block:nuclearcraft:quantum_computer_qubit>, Quantum Computer Qubit
<block:nuclearcraft:radiation_scrubber>, Radiation Scrubber
<block:nuclearcraft:rock_crusher>, Rock Crusher
<block:nuclearcraft:rtg_americium>, Americium RTG
<block:nuclearcraft:rtg_californium>, Californium RTG
<block:nuclearcraft:rtg_plutonium>, Plutonium RTG
<block:nuclearcraft:rtg_uranium>, Uranium RTG
<block:nuclearcraft:salt_fission_controller>, Molten Salt Fission Controller
<block:nuclearcraft:salt_fission_heater>, tile.nuclearcraft.salt_fission_heater.name
<block:nuclearcraft:salt_fission_heater2>, tile.nuclearcraft.salt_fission_heater2.name
<block:nuclearcraft:salt_fission_vessel>, Molten Salt Fission Fuel Vessel
<block:nuclearcraft:salt_mixer>, Fluid Mixer
<block:nuclearcraft:separator>, Separator
<block:nuclearcraft:solar_panel_advanced>, Advanced Solar Panel
<block:nuclearcraft:solar_panel_basic>, Basic Solar Panel
<block:nuclearcraft:solar_panel_du>, DU Solar Panel
<block:nuclearcraft:solar_panel_elite>, Elite Solar Panel
<block:nuclearcraft:solid_fission_cell>, Solid Fuel Fission Fuel Cell
<block:nuclearcraft:solid_fission_controller>, Solid Fuel Fission Controller
<block:nuclearcraft:solid_fission_sink>, tile.nuclearcraft.solid_fission_sink.name
<block:nuclearcraft:solid_fission_sink2>, tile.nuclearcraft.solid_fission_sink2.name
<block:nuclearcraft:supercold_ice>, Supercold Ice
<block:nuclearcraft:supercooler>, Supercooler
<block:nuclearcraft:tritium_lamp>, Tritium Lamp
<block:nuclearcraft:turbine_casing>, Turbine Casing
<block:nuclearcraft:turbine_coil_connector>, Turbine Dynamo Coil Connector
<block:nuclearcraft:turbine_computer_port>, Turbine Computer Port (WIP)
<block:nuclearcraft:turbine_controller>, Turbine Controller
<block:nuclearcraft:turbine_dynamo_coil>, tile.nuclearcraft.turbine_dynamo_coil.name
<block:nuclearcraft:turbine_glass>, Turbine Glass
<block:nuclearcraft:turbine_inlet>, Turbine Fluid Inlet
<block:nuclearcraft:turbine_outlet>, Turbine Fluid Outlet
<block:nuclearcraft:turbine_rotor_bearing>, Turbine Rotor Bearing
<block:nuclearcraft:turbine_rotor_blade_extreme>, Extreme Alloy Turbine Rotor Blade
<block:nuclearcraft:turbine_rotor_blade_sic_sic_cmc>, SiC-SiC CMC Turbine Rotor Blade
<block:nuclearcraft:turbine_rotor_blade_steel>, Steel Turbine Rotor Blade
<block:nuclearcraft:turbine_rotor_shaft>, Turbine Rotor Shaft
<block:nuclearcraft:turbine_rotor_stator>, Turbine Rotor Stator
<block:nuclearcraft:voltaic_pile_advanced>, Advanced Voltaic Pile
<block:nuclearcraft:voltaic_pile_basic>, Basic Voltaic Pile
<block:nuclearcraft:voltaic_pile_du>, DU Voltaic Pile
<block:nuclearcraft:voltaic_pile_elite>, Elite Voltaic Pile
<block:nuclearcraft:wasteland_earth>, Wasteland Earth
<block:nuclearcraft:water_source>, Infinite Water Source
<block:nuclearcraft:water_source_compact>, Compact Infinite Water Source
<block:nuclearcraft:water_source_dense>, Dense Infinite Water Source
<block:openblocks:beartrap>, Bear Trap
<block:openblocks:big_button>, Stone Big Button
<block:openblocks:big_button_wood>, Wooden Big Button
<block:openblocks:block_breaker>, Block Breaker
<block:openblocks:block_placer>, Block Placer
<block:openblocks:builder_guide>, Enhanced Building Guide
<block:openblocks:donation_station>, Donation Station
<block:openblocks:flag>, Flag
<block:openblocks:grave>, Grave
<block:openblocks:item_dropper>, Item Dropper
<block:openblocks:ladder>, Jaded Ladder
<block:openblocks:path>, Path
<block:openblocks:rope_ladder>, Rope Ladder
<block:openblocks:scaffolding>, Scaffolding
<block:openblocks:tank>, Tank
<block:openblocks:target>, Target
<block:openblocks:trophy>, Trophy
<block:pneumaticcraft:advanced_air_compressor>, Advanced Air Compressor
<block:pneumaticcraft:advanced_liquid_compressor>, Advanced Liquid Compressor
<block:pneumaticcraft:advanced_pressure_tube>, Advanced Pressure Tube
<block:pneumaticcraft:aerial_interface>, Aerial Interface
<block:pneumaticcraft:air_cannon>, Air Cannon
<block:pneumaticcraft:air_compressor>, Air Compressor
<block:pneumaticcraft:aphorism_tile>, Aphorism Tile
<block:pneumaticcraft:assembly_controller>, Assembly Controller
<block:pneumaticcraft:assembly_drill>, Assembly Drill
<block:pneumaticcraft:assembly_io_unit>, Assembly IO Unit
<block:pneumaticcraft:assembly_laser>, Assembly Laser
<block:pneumaticcraft:assembly_platform>, Assembly Platform
<block:pneumaticcraft:charging_station>, Charging Station
<block:pneumaticcraft:compressed_iron_block>, Block of Compressed Iron
<block:pneumaticcraft:creative_compressor>, Creative Compressor
<block:pneumaticcraft:drone_redstone_emitter>, tile.drone_redstone_emitter.name
<block:pneumaticcraft:electrostatic_compressor>, Electrostatic Compressor
<block:pneumaticcraft:elevator_base>, Elevator Base
<block:pneumaticcraft:elevator_caller>, Elevator Caller
<block:pneumaticcraft:elevator_frame>, Elevator Frame
<block:pneumaticcraft:fake_ice>, tile.fake_ice.name
<block:pneumaticcraft:fluid.etchacid>, Etching Acid
<block:pneumaticcraft:fluid.fuel>, Gasoline
<block:pneumaticcraft:fluid.kerosene>, Kerosene
<block:pneumaticcraft:fluid.lpg>, LPG
<block:pneumaticcraft:fluid.plastic>, Plastic
<block:pneumaticcraft:flux_compressor>, Flux Compressor
<block:pneumaticcraft:gas_lift>, Gas Lift
<block:pneumaticcraft:heat_sink>, Heat Sink
<block:pneumaticcraft:kerosene_lamp>, Kerosene Lamp
<block:pneumaticcraft:kerosene_lamp_light>, tile.kerosene_lamp_light.name
<block:pneumaticcraft:liquid_compressor>, Liquid Compressor
